date,branch,new_customers,active_customers,avg_credit_score,loan_default_rate_percent,customer_churn_rate_percent
2024-01-08,Pune,830,214165,699.0,3.86,1.58
2024-01-08,Hyderabad,1586,210750,745.0,2.75,2.34
2024-01-08,Ahmedabad,1726,210060,697.0,2.2,1.15
2024-01-08,Kolkata,539,209080,721.0,3.68,0.72
2024-01-08,Jaipur,1243,205606,753.0,2.0,2.26
2024-01-08,Surat,1129,204726,712.0,3.75,0.98
2024-01-09,Mumbai,993,201163,750.0,3.17,2.26
2024-01-09,Delhi,661,200475,726.0,3.31,0.67
2024-01-09,Bangalore,1495,197700,737.0,4.03,2.13
2024-01-09,Chennai,1590,195278,701.0,4.11,2.03
2024-01-09,Pune,762,192489,722.0,4.47,1.82
2024-01-09,Hyderabad,1625,192520,714.0,3.26,0.83
2024-01-09,Ahmedabad,1580,189783,702.0,1.85,2.24
2024-01-09,Kolkata,1366,186543,717.0,2.89,2.43
2024-01-09,Jaipur,1604,184401,736.0,3.62,2.01
2024-01-09,Surat,1912,184655,724.0,4.03,0.9
2024-01-10,Mumbai,1138,183453,686.0,3.28,1.3
2024-01-10,Delhi,1875,182033,703.0,3.59,1.8
2024-01-10,Bangalore,1397,179248,688.0,2.61,2.3
2024-01-10,Chennai,1424,179346,729.0,2.84,0.74
2024-01-10,Pune,960,179183,753.0,2.02,0.63
2024-01-10,Hyderabad,543,176723,722.0,3.17,1.68
2024-01-10,Ahmedabad,971,174734,697.0,2.65,1.68
2024-01-10,Kolkata,514,174128,688.0,3.3,0.64
2024-01-10,Jaipur,1792,174850,752.0,2.95,0.62
2024-01-10,Surat,638,171450,700.0,1.97,2.31
2024-01-11,Mumbai,1176,171581,706.0,4.26,0.64
2024-01-11,Delhi,987,170757,722.0,4.28,1.06
2024-01-11,Bangalore,1494,170671,702.0,3.81,0.93
2024-01-11,Chennai,770,168121,714.0,2.29,1.95
2024-01-11,Pune,1669,167018,730.0,3.27,1.65
2024-01-11,Hyderabad,997,164563,725.0,4.08,2.07
2024-01-11,Ahmedabad,1333,164450,724.0,2.18,0.88
2024-01-11,Kolkata,698,162162,718.0,2.18,1.82
2024-01-11,Jaipur,1225,161206,723.0,3.9,1.35
2024-01-11,Surat,1456,159075,740.0,3.91,2.23
2024-01-12,Mumbai,610,156797,698.0,3.58,1.85
2024-01-12,Delhi,1823,157534,730.0,1.69,0.7
2024-01-12,Bangalore,1324,155781,731.0,4.22,1.96
2024-01-12,Chennai,723,154953,697.0,3.82,1.0
2024-01-12,Pune,889,153409,740.0,4.4,1.57
2024-01-12,Hyderabad,787,152138,710.0,2.5,1.34
2024-01-12,Ahmedabad,1070,151043,710.0,2.7,1.43
2024-01-12,Kolkata,654,149607,709.0,1.66,1.39
2024-01-12,Jaipur,1627,150199,755.0,3.09,0.7
2024-01-12,Surat,1835,148287,718.0,4.41,2.5
2024-01-13,Mumbai,530,145248,714.0,2.91,2.44
2024-01-13,Delhi,984,145026,720.0,4.29,0.83
2024-01-13,Bangalore,1494,144404,717.0,3.65,1.46
2024-01-13,Chennai,1321,142402,715.0,2.38,2.3
2024-01-13,Pune,837,141452,711.0,3.89,1.26
2024-01-13,Hyderabad,1299,141298,749.0,3.15,1.03
2024-01-13,Ahmedabad,1431,141222,716.0,2.5,1.07
2024-01-13,Kolkata,1926,139746,705.0,3.93,2.41
2024-01-13,Jaipur,1638,138842,746.0,2.62,1.82
2024-01-13,Surat,1496,139219,732.0,3.58,0.81
2024-01-14,Mumbai,1107,139070,739.0,3.1,0.94
2024-01-14,Delhi,619,137385,705.0,2.73,1.66
2024-01-14,Bangalore,1610,138147,720.0,3.34,0.62
2024-01-14,Chennai,1142,138445,739.0,4.46,0.61
2024-01-14,Pune,1696,138136,750.0,2.74,1.45
2024-01-14,Hyderabad,1587,138604,722.0,1.61,0.81
2024-01-14,Ahmedabad,1540,139235,723.0,2.77,0.66
2024-01-14,Kolkata,880,139232,663.0,4.49,0.64
2024-01-14,Jaipur,639,137298,730.0,1.58,1.85
2024-01-14,Surat,981,136488,747.0,2.83,1.31
2024-01-15,Mumbai,1666,136847,728.0,4.36,0.99
2024-01-15,Delhi,1717,137779,755.0,3.89,0.58
2024-01-15,Bangalore,667,136605,729.0,1.98,1.34
2024-01-15,Chennai,1695,136081,724.0,2.63,1.63
2024-01-15,Pune,1147,134009,720.0,2.82,2.37
2024-01-15,Hyderabad,918,132467,721.0,2.52,1.84
2024-01-15,Ahmedabad,1143,132320,743.0,3.1,0.98
2024-01-15,Kolkata,1310,132628,715.0,2.85,0.76
2024-01-15,Jaipur,1821,132999,702.0,4.47,1.1
2024-01-15,Surat,1147,131014,711.0,1.58,2.36
2024-01-16,Mumbai,648,131025,741.0,3.06,0.52
2024-01-16,Delhi,1772,129535,705.0,2.44,2.5
2024-01-16,Bangalore,704,129405,736.0,1.95,0.65
2024-01-16,Chennai,936,128390,711.0,2.89,1.51
2024-01-16,Pune,771,126127,700.0,3.2,2.37
2024-01-16,Hyderabad,640,123922,714.0,4.33,2.26
2024-01-16,Ahmedabad,1256,123858,740.0,2.43,1.07
2024-01-16,Kolkata,1397,122578,753.0,3.32,2.17
2024-01-16,Jaipur,1940,123172,714.0,2.23,1.11
2024-01-16,Surat,1839,123101,738.0,2.94,1.56
2024-01-17,Mumbai,1867,122386,709.0,1.79,2.13
2024-01-17,Delhi,1113,120613,675.0,2.51,2.36
2024-01-17,Bangalore,712,118460,713.0,4.4,2.38
2024-01-17,Chennai,775,118020,744.0,3.63,1.03
2024-01-17,Pune,719,116401,693.0,3.56,1.98
2024-01-17,Hyderabad,818,116007,706.0,2.41,1.04
2024-01-17,Ahmedabad,1738,116685,743.0,2.01,0.92
2024-01-17,Kolkata,1202,116835,727.0,3.25,0.91
2024-01-17,Jaipur,1798,116065,724.0,1.55,2.21
2024-01-17,Surat,1535,115893,698.0,3.17,1.48
2024-01-18,Mumbai,604,115742,708.0,3.57,0.68
2024-01-18,Delhi,1367,114618,721.0,3.22,2.16
2024-01-18,Bangalore,590,114630,731.0,3.67,0.51
2024-01-18,Chennai,767,113368,766.0,3.08,1.77
2024-01-18,Pune,1036,113476,729.0,4.27,0.82
2024-01-18,Hyderabad,1404,113068,725.0,2.29,1.6
2024-01-18,Ahmedabad,1375,112617,729.0,4.41,1.62
2024-01-18,Kolkata,729,112618,692.0,1.65,0.65
2024-01-18,Jaipur,1915,111945,734.0,3.79,2.31
2024-01-18,Surat,1617,112930,690.0,3.92,0.57
2024-01-19,Mumbai,1256,112346,748.0,3.65,1.67
2024-01-19,Delhi,803,111626,703.0,2.42,1.36
2024-01-19,Bangalore,585,110969,699.0,4.18,1.12
2024-01-19,Chennai,581,109003,697.0,4.23,2.3
2024-01-19,Pune,930,107906,724.0,4.33,1.86
2024-01-19,Hyderabad,1865,109020,719.0,3.38,0.71
2024-01-19,Ahmedabad,1646,108203,731.0,1.78,2.27
2024-01-19,Kolkata,1332,106894,718.0,3.87,2.45
2024-01-19,Jaipur,816,105201,721.0,3.8,2.35
2024-01-19,Surat,984,103845,692.0,3.58,2.23
2024-01-20,Mumbai,862,102393,733.0,2.42,2.26
2024-01-20,Delhi,550,102067,731.0,2.59,0.86
2024-01-20,Bangalore,1180,101147,737.0,4.16,2.06
2024-01-20,Chennai,1343,100369,721.0,3.91,2.1
2024-01-20,Pune,1008,100346,725.0,2.4,1.03
2024-01-20,Hyderabad,1936,101575,733.0,2.97,0.72
2024-01-20,Ahmedabad,579,99906,734.0,2.53,2.22
2024-01-20,Kolkata,955,99968,732.0,2.48,0.9
2024-01-20,Jaipur,1442,100220,738.0,3.04,1.2
2024-01-20,Surat,966,100244,742.0,2.76,0.95
2024-01-21,Mumbai,1851,101247,716.0,1.73,0.89
2024-01-21,Delhi,1172,101356,721.0,3.22,1.06
2024-01-21,Bangalore,642,99535,733.0,3.82,2.43
2024-01-21,Chennai,1071,99416,706.0,3.63,1.2
2024-01-21,Pune,1543,99677,703.0,3.85,1.3
2024-01-21,Hyderabad,1598,100127,703.0,3.06,1.16
2024-01-21,Ahmedabad,556,99955,708.0,4.18,0.73
2024-01-21,Kolkata,1034,100139,712.0,3.58,0.86
2024-01-21,Jaipur,1043,100612,731.0,4.05,0.58
2024-01-21,Surat,1721,100966,721.0,2.03,1.37
2024-01-22,Mumbai,1992,100907,656.0,4.03,2.07
2024-01-22,Delhi,1393,100581,757.0,1.95,1.71
2024-01-22,Bangalore,1547,101403,762.0,4.34,0.73
2024-01-22,Chennai,1680,102202,705.0,4.2,0.88
2024-01-22,Pune,590,100837,767.0,4.06,1.92
2024-01-22,Hyderabad,503,99790,735.0,3.73,1.54
2024-01-22,Ahmedabad,1602,99533,703.0,3.53,1.87
2024-01-22,Kolkata,1873,100528,687.0,2.42,0.89
2024-01-22,Jaipur,1383,101277,701.0,4.37,0.64
2024-01-22,Surat,1860,100777,687.0,2.81,2.34
2024-01-23,Mumbai,1776,101459,721.0,3.44,1.13
2024-01-23,Delhi,755,100252,732.0,3.89,1.94
2024-01-23,Bangalore,1115,99856,717.0,3.43,1.51
2024-01-23,Chennai,1865,100419,709.0,4.19,1.32
2024-01-23,Pune,1324,99850,703.0,4.23,1.89
2024-01-23,Hyderabad,1635,100743,746.0,3.49,0.75
2024-01-23,Ahmedabad,1361,100270,712.0,1.51,1.83
2024-01-23,Kolkata,1276,99695,743.0,2.0,1.85
2024-01-23,Jaipur,856,98832,688.0,2.79,1.73
2024-01-23,Surat,1116,98658,754.0,2.7,1.31
2024-01-24,Mumbai,500,98099,725.0,1.84,1.11
2024-01-24,Delhi,930,97702,709.0,2.28,1.36
2024-01-24,Bangalore,1687,97727,704.0,4.23,1.71
2024-01-24,Chennai,1159,97498,726.0,2.93,1.43
2024-01-24,Pune,1405,97108,722.0,2.49,1.85
2024-01-24,Hyderabad,1546,97261,712.0,3.22,1.45
2024-01-24,Ahmedabad,847,96347,668.0,4.05,1.82
2024-01-24,Kolkata,1081,95961,688.0,2.08,1.53
2024-01-24,Jaipur,1796,96102,667.0,3.52,1.74
2024-01-24,Surat,691,94745,720.0,1.65,2.14
2024-01-25,Mumbai,981,94013,682.0,4.42,1.85
2024-01-25,Delhi,960,92993,772.0,3.77,2.11
2024-01-25,Bangalore,801,93290,721.0,3.85,0.55
2024-01-25,Chennai,1001,91997,696.0,3.07,2.47
2024-01-25,Pune,1751,91737,694.0,2.6,2.2
2024-01-25,Hyderabad,649,91097,690.0,1.56,1.41
2024-01-25,Ahmedabad,1789,91395,734.0,2.31,1.65
2024-01-25,Kolkata,1971,91651,750.0,3.39,1.89
2024-01-25,Jaipur,1512,91983,699.0,3.72,1.3
2024-01-25,Surat,802,91125,704.0,3.93,1.81
2024-01-26,Mumbai,511,89584,745.0,2.6,2.29
2024-01-26,Delhi,718,88466,731.0,1.72,2.06
2024-01-26,Bangalore,948,88669,691.0,3.83,0.85
2024-01-26,Chennai,1925,89247,733.0,2.57,1.54
2024-01-26,Pune,602,88413,732.0,3.95,1.61
2024-01-26,Hyderabad,748,87918,759.0,4.0,1.41
2024-01-26,Ahmedabad,1451,87767,716.0,4.11,1.84
2024-01-26,Kolkata,1644,87939,712.0,2.71,1.69
2024-01-26,Jaipur,1406,87839,693.0,3.16,1.73
2024-01-26,Surat,1973,87821,721.0,2.29,2.28
2024-01-27,Mumbai,1373,87333,711.0,2.58,2.16
2024-01-27,Delhi,1622,87753,730.0,1.79,1.39
2024-01-27,Bangalore,825,86841,733.0,2.02,1.99
2024-01-27,Chennai,1472,87109,723.0,1.56,1.4
2024-01-27,Pune,1006,86224,751.0,4.43,2.18
2024-01-27,Hyderabad,1067,85548,710.0,1.65,2.03
2024-01-27,Ahmedabad,1567,85870,709.0,1.96,1.47
2024-01-27,Kolkata,989,85967,745.0,2.08,1.05
2024-01-27,Jaipur,658,84974,728.0,1.82,1.93
2024-01-27,Surat,980,85076,717.0,2.47,1.04
2024-01-28,Mumbai,1154,84320,747.0,4.25,2.29
2024-01-28,Delhi,665,84336,717.0,1.53,0.78
2024-01-28,Bangalore,973,84249,709.0,3.83,1.27
2024-01-28,Chennai,812,83457,714.0,3.2,1.91
2024-01-28,Pune,631,82984,717.0,3.04,1.33
2024-01-28,Hyderabad,1177,82856,703.0,3.59,1.59
2024-01-28,Ahmedabad,1351,83701,718.0,2.96,0.62
2024-01-28,Kolkata,1360,84002,721.0,1.98,1.28
2024-01-28,Jaipur,1696,83703,735.0,3.67,2.39
2024-01-28,Surat,540,82396,744.0,1.72,2.21
2024-01-29,Mumbai,1679,83075,745.0,3.64,1.26
2024-01-29,Delhi,512,81609,721.0,4.09,2.39
2024-01-29,Bangalore,1111,81092,707.0,2.82,2.01
2024-01-29,Chennai,1358,81184,702.0,3.07,1.58
2024-01-29,Pune,1618,81111,707.0,3.56,2.1
2024-01-29,Hyderabad,951,80873,692.0,3.44,1.48
2024-01-29,Ahmedabad,1058,80831,706.0,4.4,1.37
2024-01-29,Kolkata,559,80362,775.0,1.92,1.28
2024-01-29,Jaipur,1869,80754,748.0,2.7,1.86
2024-01-29,Surat,1328,80520,724.0,3.71,1.95
2024-01-30,Mumbai,1457,80131,714.0,2.22,2.34
2024-01-30,Delhi,1774,80664,729.0,2.58,1.57
2024-01-30,Bangalore,1306,80624,701.0,2.19,1.68
2024-01-30,Chennai,1857,82051,716.0,4.12,0.55
2024-01-30,Pune,1816,82769,687.0,4.33,1.36
2024-01-30,Hyderabad,1445,83513,729.0,3.82,0.86
2024-01-30,Ahmedabad,1032,83504,745.0,3.29,1.26
2024-01-30,Kolkata,933,83269,707.0,3.55,1.41
2024-01-30,Jaipur,1191,82787,699.0,2.26,2.02
2024-01-30,Surat,1276,83199,707.0,1.75,1.06
2024-01-31,Mumbai,1363,83764,671.0,1.51,1.0
2024-01-31,Delhi,667,83231,705.0,4.07,1.44
2024-01-31,Bangalore,1604,84347,709.0,4.4,0.6
2024-01-31,Chennai,1216,84775,758.0,4.32,0.95
2024-01-31,Pune,640,83673,725.0,3.95,2.06
2024-01-31,Hyderabad,1834,85038,704.0,2.02,0.58
2024-01-31,Ahmedabad,563,83566,712.0,2.34,2.4
2024-01-31,Kolkata,908,82662,708.0,4.39,2.18
2024-01-31,Jaipur,1772,83785,709.0,2.57,0.8
2024-01-31,Surat,758,83338,730.0,2.46,1.45
2024-02-01,Mumbai,734,82747,701.0,3.76,1.63
2024-02-01,Delhi,946,82519,698.0,2.3,1.43
2024-02-01,Bangalore,1024,81875,741.0,1.74,2.03
2024-02-01,Chennai,843,81325,725.0,3.4,1.71
2024-02-01,Pune,1971,82722,678.0,1.8,0.73
2024-02-01,Hyderabad,835,81555,723.0,3.53,2.43
2024-02-01,Ahmedabad,721,80931,698.0,3.65,1.66
2024-02-01,Kolkata,1138,80744,695.0,4.34,1.65
2024-02-01,Jaipur,1268,80980,744.0,4.37,1.29
2024-02-01,Surat,1964,82236,704.0,1.79,0.9
2024-02-02,Mumbai,1712,82442,714.0,3.98,1.88
2024-02-02,Delhi,1784,83432,720.0,2.36,0.99
2024-02-02,Bangalore,1927,83672,745.0,3.87,2.04
2024-02-02,Chennai,1901,84169,698.0,2.7,1.7
2024-02-02,Pune,747,83162,726.0,4.16,2.09
2024-02-02,Hyderabad,1659,83120,722.0,3.6,2.07
2024-02-02,Ahmedabad,1211,83042,728.0,3.95,1.57
2024-02-02,Kolkata,1854,83884,724.0,3.01,1.24
2024-02-02,Jaipur,1536,83930,715.0,1.59,1.8
2024-02-02,Surat,525,82614,720.0,3.74,2.2
2024-02-03,Mumbai,1503,83570,751.0,4.35,0.71
2024-02-03,Delhi,1241,83344,727.0,2.86,1.77
2024-02-03,Bangalore,1441,83203,725.0,1.8,1.91
2024-02-03,Chennai,1391,83899,705.0,3.36,0.85
2024-02-03,Pune,1568,83443,757.0,2.55,2.43
2024-02-03,Hyderabad,1053,83063,725.0,1.93,1.73
2024-02-03,Ahmedabad,1602,82979,735.0,2.93,2.05
2024-02-03,Kolkata,1452,83308,698.0,3.12,1.37
2024-02-03,Jaipur,1997,83922,739.0,4.5,1.68
2024-02-03,Surat,1160,83245,710.0,2.44,2.2
2024-02-04,Mumbai,677,83073,704.0,3.73,1.06
2024-02-04,Delhi,1423,83691,731.0,2.79,0.99
2024-02-04,Bangalore,1451,83784,692.0,4.05,1.64
2024-02-04,Chennai,1868,84618,731.0,2.02,1.26
2024-02-04,Pune,558,83923,730.0,4.08,1.49
2024-02-04,Hyderabad,1165,84375,685.0,3.23,0.86
2024-02-04,Ahmedabad,934,84299,729.0,3.29,1.21
2024-02-04,Kolkata,1029,84343,713.0,2.2,1.18
2024-02-04,Jaipur,1720,84476,758.0,3.54,1.9
2024-02-04,Surat,1065,84192,733.0,3.67,1.61
2024-02-05,Mumbai,1558,83774,712.0,3.75,2.4
2024-02-05,Delhi,675,83634,722.0,4.42,0.98
2024-02-05,Bangalore,1332,83745,737.0,3.81,1.48
2024-02-05,Chennai,992,83172,688.0,3.42,1.88
2024-02-05,Pune,1822,83413,719.0,3.1,1.92
2024-02-05,Hyderabad,1417,83106,736.0,1.61,2.09
2024-02-05,Ahmedabad,690,82899,715.0,4.44,1.09
2024-02-05,Kolkata,1328,82680,729.0,2.11,1.88
2024-02-05,Jaipur,1127,82308,718.0,3.48,1.83
2024-02-05,Surat,1255,82386,686.0,2.82,1.45
2024-02-06,Mumbai,1587,83036,731.0,4.37,1.19
2024-02-06,Delhi,1627,83716,678.0,4.39,1.16
2024-02-06,Bangalore,1939,84498,744.0,3.67,1.41
2024-02-06,Chennai,1127,84790,697.0,3.46,1.0
2024-02-06,Pune,747,83899,722.0,3.79,1.94
2024-02-06,Hyderabad,1146,84438,700.0,2.1,0.74
2024-02-06,Ahmedabad,1597,84024,697.0,4.16,2.4
2024-02-06,Kolkata,1913,85227,708.0,4.08,0.87
2024-02-06,Jaipur,943,84495,730.0,2.59,1.98
2024-02-06,Surat,1066,83926,707.0,3.56,1.95
2024-02-07,Mumbai,1574,84121,654.0,4.14,1.69
2024-02-07,Delhi,705,83013,704.0,3.41,2.17
2024-02-07,Bangalore,1106,83338,712.0,4.3,0.95
2024-02-07,Chennai,867,83295,714.0,1.96,1.1
2024-02-07,Pune,1950,83961,719.0,1.92,1.57
2024-02-07,Hyderabad,1061,84539,755.0,3.83,0.59
2024-02-07,Ahmedabad,611,83798,761.0,2.82,1.61
2024-02-07,Kolkata,1928,83747,720.0,2.74,2.39
2024-02-07,Jaipur,1806,83700,731.0,1.98,2.24
2024-02-07,Surat,1505,84633,684.0,3.65,0.71
2024-02-08,Mumbai,525,83794,744.0,4.26,1.65
2024-02-08,Delhi,1461,84051,723.0,4.2,1.46
2024-02-08,Bangalore,1197,84532,687.0,2.57,0.87
2024-02-08,Chennai,605,84296,738.0,3.46,1.0
2024-02-08,Pune,1478,85178,704.0,4.49,0.73
2024-02-08,Hyderabad,633,84709,730.0,1.82,1.3
2024-02-08,Ahmedabad,651,83967,734.0,3.27,1.65
2024-02-08,Kolkata,1905,85384,767.0,3.1,0.61
2024-02-08,Jaipur,805,84387,720.0,2.13,2.12
2024-02-08,Surat,1122,84956,728.0,2.05,0.67
2024-02-09,Mumbai,1008,85376,723.0,2.93,0.74
2024-02-09,Delhi,1352,85282,708.0,2.75,1.71
2024-02-09,Bangalore,1766,86258,742.0,1.71,0.95
2024-02-09,Chennai,1570,86760,721.0,3.13,1.26
2024-02-09,Pune,1406,87233,727.0,3.8,1.09
2024-02-09,Hyderabad,1705,86795,753.0,4.49,2.48
2024-02-09,Ahmedabad,1125,86513,748.0,3.52,1.64
2024-02-09,Kolkata,623,85656,727.0,2.75,1.72
2024-02-09,Jaipur,703,84317,741.0,2.74,2.4
2024-02-09,Surat,925,83776,690.0,2.68,1.75
2024-02-10,Mumbai,1041,83330,710.0,3.43,1.82
2024-02-10,Delhi,821,83345,738.0,4.12,0.98
2024-02-10,Bangalore,1630,84453,717.0,1.61,0.65
2024-02-10,Chennai,505,83852,767.0,3.54,1.32
2024-02-10,Pune,1911,84371,710.0,2.17,1.69
2024-02-10,Hyderabad,1096,85003,764.0,3.58,0.57
2024-02-10,Ahmedabad,1090,84480,697.0,2.15,1.91
2024-02-10,Kolkata,1939,84568,686.0,2.94,2.22
2024-02-10,Jaipur,645,83636,697.0,3.61,1.87
2024-02-10,Surat,1041,82954,741.0,3.36,2.08
2024-02-11,Mumbai,1780,83388,691.0,4.08,1.68
2024-02-11,Delhi,905,83178,700.0,1.54,1.35
2024-02-11,Bangalore,1615,84023,707.0,3.65,0.95
2024-02-11,Chennai,805,82892,753.0,3.02,2.32
2024-02-11,Pune,791,83160,733.0,2.38,0.64
2024-02-11,Hyderabad,839,82275,718.0,3.21,2.09
2024-02-11,Ahmedabad,1718,82371,679.0,3.59,2.0
2024-02-11,Kolkata,1665,82127,725.0,3.0,2.34
2024-02-11,Jaipur,1399,82929,692.0,4.28,0.75
2024-02-11,Surat,1910,83944,727.0,1.83,1.11
2024-02-12,Mumbai,1324,83307,734.0,1.75,2.39
2024-02-12,Delhi,1524,83535,727.0,1.59,1.58
2024-02-12,Bangalore,1396,84397,742.0,3.65,0.66
2024-02-12,Chennai,581,83062,707.0,3.97,2.28
2024-02-12,Pune,1160,82819,743.0,2.55,1.71
2024-02-12,Hyderabad,552,82813,710.0,2.16,0.68
2024-02-12,Ahmedabad,1880,82918,699.0,1.89,2.17
2024-02-12,Kolkata,1678,83230,709.0,2.59,1.67
2024-02-12,Jaipur,542,81699,720.0,1.61,2.5
2024-02-12,Surat,1876,81849,696.0,2.79,2.14
2024-02-13,Mumbai,1680,83100,718.0,1.91,0.58
2024-02-13,Delhi,858,82772,728.0,2.42,1.44
2024-02-13,Bangalore,1834,83484,707.0,2.65,1.38
2024-02-13,Chennai,1069,83846,740.0,3.87,0.86
2024-02-13,Pune,1698,84417,717.0,1.69,1.37
2024-02-13,Hyderabad,1507,83886,686.0,2.02,2.44
2024-02-13,Ahmedabad,1462,84364,716.0,3.96,1.2
2024-02-13,Kolkata,1182,84598,691.0,2.56,1.14
2024-02-13,Jaipur,714,83447,690.0,2.46,2.22
2024-02-13,Surat,1175,83533,702.0,2.71,1.32
2024-02-14,Mumbai,1514,84193,737.0,2.75,1.08
2024-02-14,Delhi,1320,83740,726.0,3.45,2.13
2024-02-14,Bangalore,1626,84909,685.0,1.91,0.57
2024-02-14,Chennai,680,84639,739.0,2.16,1.13
2024-02-14,Pune,1162,85197,750.0,2.37,0.73
2024-02-14,Hyderabad,1327,84642,723.0,3.91,2.23
2024-02-14,Ahmedabad,502,83615,705.0,3.1,1.82
2024-02-14,Kolkata,1611,84057,713.0,4.34,1.42
2024-02-14,Jaipur,611,83940,729.0,2.85,0.88
2024-02-14,Surat,1240,83732,668.0,2.87,1.75
2024-02-15,Mumbai,1520,83832,712.0,2.99,1.75
2024-02-15,Delhi,605,83685,692.0,3.73,0.91
2024-02-15,Bangalore,1624,84694,724.0,3.49,0.76
2024-02-15,Chennai,1089,84632,698.0,2.65,1.38
2024-02-15,Pune,1930,85344,756.0,2.9,1.47
2024-02-15,Hyderabad,559,83824,728.0,2.5,2.45
2024-02-15,Ahmedabad,1746,83835,726.0,3.14,2.1
2024-02-15,Kolkata,1953,85130,715.0,2.84,0.82
