date,branch,upi_volume,upi_value,card_txn_volume,card_txn_value,wallet_txn_volume,wallet_txn_value,fraud_rate_percent
2024-01-10,Pune,206172,82152520.05,138186,56005574.3,65026,21664927.99,2.79
2024-01-10,Hyderabad,189994,75924235.44,141344,63624475.65,54073,20273109.35,2.6
2024-01-10,Ahmedabad,199443,83010879.32,132654,56300587.09,75208,21150194.41,1.19
2024-01-10,Kolkata,235556,83345600.2,118260,65367414.41,53646,22265288.58,1.03
2024-01-10,Jaipur,191267,74941488.93,140355,65781029.15,58854,19352824.41,1.92
2024-01-10,Surat,185518,71769415.64,110296,58670058.28,64482,15529046.99,2.33
2024-01-11,Mumbai,205539,81543765.25,99413,54646540.08,53964,22201987.4,0.79
2024-01-11,Delhi,188157,73407145.76,120484,57818965.75,61269,23604722.14,0.68
2024-01-11,Bangalore,236982,78105763.42,103103,58460003.2,61518,21547493.76,1.22
2024-01-11,Chennai,183592,88010880.13,115381,58397395.66,56677,20462784.73,1.18
2024-01-11,Pune,189356,77652571.6,135199,62609947.39,67767,22858774.8,2.79
2024-01-11,Hyderabad,165227,74537992.37,100466,58954381.62,60731,17758779.03,2.82
2024-01-11,Ahmedabad,191714,80055366.42,105250,64614439.29,54142,17861898.56,2.31
2024-01-11,Kolkata,208500,86885846.86,103095,56017858.08,58613,20296282.2,2.16
2024-01-11,Jaipur,210580,80388915.61,114539,62142073.84,59525,23799594.59,0.97
2024-01-11,Surat,210446,89915890.79,122106,59500671.7,52604,20906691.4,1.37
2024-01-12,Mumbai,180343,81977250.65,155916,62703352.53,47664,18711214.12,2.52
2024-01-12,Delhi,198502,79103614.88,104023,58345761.05,66854,19034426.87,0.91
2024-01-12,Bangalore,215519,86210855.05,128988,52642612.95,51995,19857029.47,2.77
2024-01-12,Chennai,221894,81625605.15,114308,59043296.07,62161,20548799.15,1.82
2024-01-12,Pune,200067,80551607.01,120547,65764776.89,51585,23758948.69,1.36
2024-01-12,Hyderabad,215954,77060083.27,106017,66158561.0,61898,18962981.4,1.79
2024-01-12,Ahmedabad,226904,79452598.48,84449,60857444.76,63451,19403874.28,1.94
2024-01-12,Kolkata,206974,77135672.24,140693,59267875.1,61980,21690556.29,2.33
2024-01-12,Jaipur,203570,77374132.35,120741,67142891.8,67538,20586969.54,1.0
2024-01-12,Surat,207682,77583541.35,125937,61727059.34,68967,21072851.63,2.25
2024-01-13,Mumbai,205178,79485172.84,112850,57881136.89,47611,18350610.86,1.3
2024-01-13,Delhi,191257,76490852.11,120817,58993082.81,64745,20964802.73,2.55
2024-01-13,Bangalore,233976,77862444.63,117782,60147124.46,69755,22906018.22,2.5
2024-01-13,Chennai,180201,82605374.09,126649,64644220.06,65303,21518421.41,1.24
2024-01-13,Pune,197710,79098002.86,134675,60217260.28,63717,21528588.41,0.56
2024-01-13,Hyderabad,227900,75118471.06,125221,59238916.81,58650,21560093.63,2.26
2024-01-13,Ahmedabad,211004,76580846.88,136620,64662479.51,57714,24653682.17,2.19
2024-01-13,Kolkata,205779,82041048.35,131234,67637302.91,64508,21229989.31,2.04
2024-01-13,Jaipur,193403,80493266.13,108725,53359423.58,66867,20140038.32,0.77
2024-01-13,Surat,155969,82408987.4,101871,60793205.85,48503,20807939.29,2.09
2024-01-14,Mumbai,183092,75531366.99,118592,59199527.15,60614,18378658.35,2.27
2024-01-14,Delhi,176423,75985868.0,117062,57412381.87,68300,17344644.67,2.71
2024-01-14,Bangalore,235105,79320466.1,115768,58975435.71,58044,18874364.93,1.88
2024-01-14,Chennai,226397,71248420.11,138463,62378103.77,64448,23470712.47,2.17
2024-01-14,Pune,190254,82813760.8,130739,56603750.67,58320,22431671.8,2.95
2024-01-14,Hyderabad,193839,73809724.3,131001,59889710.55,58630,16545180.48,0.97
2024-01-14,Ahmedabad,225395,81178827.16,135480,58230911.57,54077,21923404.24,0.94
2024-01-14,Kolkata,234117,84771225.65,114244,60197492.54,62623,21093278.7,1.18
2024-01-14,Jaipur,192416,80815955.57,125712,52132674.34,48800,20382461.76,2.44
2024-01-14,Surat,215801,72251215.48,113174,54050802.89,65074,17761475.92,1.56
2024-01-15,Mumbai,175150,80278866.18,95151,67141941.23,63918,20501014.38,1.82
2024-01-15,Delhi,216047,84816222.7,97184,56961332.9,61771,21197110.94,1.45
2024-01-15,Bangalore,188862,85887471.48,124009,55440251.33,70802,20738783.0,1.64
2024-01-15,Chennai,190662,85722046.1,100428,62113931.93,68919,19563416.61,1.04
2024-01-15,Pune,190012,85263585.63,108350,64252605.05,71267,22273755.26,1.36
2024-01-15,Hyderabad,152499,77655060.8,119188,62099846.0,56806,17947261.48,2.17
2024-01-15,Ahmedabad,211711,81997996.54,115923,63279005.81,73876,19625427.23,2.79
2024-01-15,Kolkata,188749,71011201.26,117225,63772564.88,68091,20134641.07,2.51
2024-01-15,Jaipur,186505,75135640.19,131728,59685461.35,58382,20205684.61,2.24
2024-01-15,Surat,234273,74233315.25,114711,70516621.65,55102,23499760.32,2.28
2024-01-16,Mumbai,184766,77916351.74,129377,57634998.18,59462,16997844.89,1.12
2024-01-16,Delhi,235481,83968372.44,136660,54064903.26,52671,22636732.71,0.81
2024-01-16,Bangalore,171763,82237389.69,122181,56941510.71,73420,21468393.35,1.15
2024-01-16,Chennai,235082,80929870.85,109782,60899413.51,55758,19717170.57,2.97
2024-01-16,Pune,215237,74560884.8,135470,55454718.63,65889,18927894.33,0.78
2024-01-16,Hyderabad,192791,81952858.58,128007,59299702.64,46717,20922119.13,1.06
2024-01-16,Ahmedabad,164045,86665037.97,123111,56123422.95,72505,18820511.93,0.76
2024-01-16,Kolkata,180899,91168491.9,99875,58702179.04,70427,17913583.08,2.87
2024-01-16,Jaipur,161717,87386635.91,124835,60236597.27,69888,22764933.37,1.57
2024-01-16,Surat,212134,84889860.35,132339,54391731.63,59790,20207135.7,2.52
2024-01-17,Mumbai,203127,75651682.13,102821,55592167.34,61905,20243051.72,1.52
2024-01-17,Delhi,211116,75042422.07,115755,59737376.46,45809,16742901.99,0.96
2024-01-17,Bangalore,194159,82632968.01,124073,63976793.89,56841,16487550.46,1.21
2024-01-17,Chennai,200319,89959605.87,107554,63963908.96,60753,17955748.73,2.51
2024-01-17,Pune,182952,76173785.08,117724,61731610.06,64689,20507495.67,2.6
2024-01-17,Hyderabad,198983,78848540.42,135691,62643067.86,55290,19088255.1,0.53
2024-01-17,Ahmedabad,220289,80047076.56,115288,55411835.8,65026,22927320.13,1.78
2024-01-17,Kolkata,185413,81999920.63,125249,60723043.62,61101,18475528.93,1.24
2024-01-17,Jaipur,250168,87459393.13,138498,61762986.13,63681,15346457.43,0.53
2024-01-17,Surat,188766,85175325.58,112705,63948819.36,60427,20221065.92,1.78
2024-01-18,Mumbai,204753,73550982.84,118377,56371179.16,55614,20562698.13,1.5
2024-01-18,Delhi,181630,77077988.19,143994,67856408.85,52331,21084723.16,1.21
2024-01-18,Bangalore,206813,73752261.28,91191,58953671.67,59729,20463422.87,2.94
2024-01-18,Chennai,208494,79060892.95,136014,59432411.59,59236,18929885.71,1.34
2024-01-18,Pune,212585,75200771.05,103382,61316129.67,52273,20002211.25,1.04
2024-01-18,Hyderabad,204392,72213584.41,113309,52703173.31,56821,18349687.01,0.68
2024-01-18,Ahmedabad,199685,82069307.98,110567,65854388.61,45835,19812654.48,2.24
2024-01-18,Kolkata,192935,85031395.42,133519,56312337.52,65088,17943297.32,0.74
2024-01-18,Jaipur,208077,93091018.1,126394,57527297.71,48975,19712791.38,1.38
2024-01-18,Surat,184498,80999914.45,123334,62070924.98,68207,16884742.53,1.19
2024-01-19,Mumbai,221420,86003350.13,97901,62140329.42,55436,17435218.21,0.86
2024-01-19,Delhi,228552,75500252.22,114215,64823158.34,65927,19274176.85,2.73
2024-01-19,Bangalore,195156,80784761.09,137041,63666918.37,61281,19759195.61,1.97
2024-01-19,Chennai,230873,77753457.27,149400,57865934.73,47464,20515959.08,2.02
2024-01-19,Pune,190414,80294147.48,108432,59334038.03,49771,20299607.34,0.82
2024-01-19,Hyderabad,206732,94470353.78,105113,65294396.08,58437,20164267.17,2.03
2024-01-19,Ahmedabad,218766,80424826.02,103564,67643106.56,64399,19772464.25,0.54
2024-01-19,Kolkata,211248,80335521.07,128524,69396524.25,64959,19377585.95,1.01
2024-01-19,Jaipur,187863,78084952.19,147030,65858548.9,34119,22634838.71,0.65
2024-01-19,Surat,166660,79209862.29,108051,57902536.37,51241,17544816.26,1.27
2024-01-20,Mumbai,209606,81470257.59,130288,60642485.36,50299,21307912.85,2.22
2024-01-20,Delhi,190737,75582284.76,110566,57704904.2,56771,19793482.82,0.72
2024-01-20,Bangalore,206613,81317526.71,150538,53452378.78,52478,18108754.91,1.56
2024-01-20,Chennai,214420,79942849.01,128719,62610894.53,52024,22193251.57,1.64
2024-01-20,Pune,186867,78872417.32,131606,54110499.49,57216,22510675.33,1.37
2024-01-20,Hyderabad,246779,78795424.11,109701,65608138.51,46479,23120185.91,2.29
2024-01-20,Ahmedabad,192696,77648703.11,136243,60181874.85,64824,20458109.44,0.76
2024-01-20,Kolkata,155357,75349457.3,140674,62526671.92,64680,22194068.64,2.1
2024-01-20,Jaipur,200250,83908281.5,148699,60647330.18,52250,19523375.94,1.97
2024-01-20,Surat,199109,74181746.93,123132,59373750.79,53889,16689610.35,1.51
2024-01-21,Mumbai,199576,82559069.05,128355,60691208.86,75265,20452422.07,2.25
2024-01-21,Delhi,197976,89286719.86,119771,55674807.0,70593,23599880.7,0.68
2024-01-21,Bangalore,193679,77247980.74,114554,66779687.3,59849,17621351.53,1.92
2024-01-21,Chennai,219877,80809923.76,136308,55839407.61,58932,18495163.06,2.35
2024-01-21,Pune,212518,74138808.92,152748,62051330.02,57604,19714719.78,1.01
2024-01-21,Hyderabad,202761,88591147.5,129983,60428065.05,52166,19468530.56,1.19
2024-01-21,Ahmedabad,203042,73089169.96,124105,53393566.53,70070,21710436.55,2.28
2024-01-21,Kolkata,197374,80163661.44,100634,61760261.76,61414,18580233.19,1.32
2024-01-21,Jaipur,187060,86842445.41,122133,58116895.92,75572,21491339.27,1.74
2024-01-21,Surat,156808,79825993.01,115312,60223860.2,62797,19892105.58,1.97
2024-01-22,Mumbai,216305,84266013.39,125089,66241668.29,58435,19745639.27,1.93
2024-01-22,Delhi,221377,70985788.99,160446,60855362.19,54049,21592212.15,2.13
2024-01-22,Bangalore,210651,81520218.72,117384,65777214.82,53656,20895040.94,1.47
2024-01-22,Chennai,218452,88537889.25,101935,60750934.52,55868,22053253.08,2.55
2024-01-22,Pune,171535,88321098.3,105192,70979605.59,57027,24674207.06,2.11
2024-01-22,Hyderabad,221030,78830490.39,106312,65981071.23,60608,22947139.01,0.94
2024-01-22,Ahmedabad,207895,78945141.95,126249,62348652.96,53605,21139213.6,0.74
2024-01-22,Kolkata,222200,79287370.68,128466,67111302.9,61376,19331213.15,2.51
2024-01-22,Jaipur,214103,79830785.35,120818,60809206.52,63393,19734120.34,1.54
2024-01-22,Surat,206414,88604812.55,143239,60649496.99,71853,19649112.73,0.75
2024-01-23,Mumbai,232110,86217250.42,119089,62222921.89,50680,24402348.75,1.46
2024-01-23,Delhi,213678,84834529.42,139350,59409477.74,62754,18925271.41,2.67
2024-01-23,Bangalore,195388,86823035.64,115022,67448122.95,61961,22854851.36,2.41
2024-01-23,Chennai,206798,77571240.38,155189,65089016.54,65223,20839541.57,2.46
2024-01-23,Pune,215513,78828645.06,126618,57339524.6,64115,21247591.1,1.76
2024-01-23,Hyderabad,186854,72987986.9,109961,61674870.99,66710,18837579.26,1.26
2024-01-23,Ahmedabad,203531,83137304.26,113769,61135348.47,42315,22073803.5,1.54
2024-01-23,Kolkata,231431,87576950.44,122089,56110823.64,58796,23244910.97,0.91
2024-01-23,Jaipur,182558,78004910.06,117471,57273277.2,54723,20503691.6,2.01
2024-01-23,Surat,192620,85246691.07,102241,61788388.34,64973,21531616.88,2.39
2024-01-24,Mumbai,192588,84599240.06,109422,66496477.14,54593,21086480.4,2.26
2024-01-24,Delhi,168691,78569000.64,120398,66753711.83,75929,20103947.8,1.4
2024-01-24,Bangalore,229297,77812896.94,116487,59210130.1,50240,18435419.24,2.17
2024-01-24,Chennai,194630,83883023.48,91642,64987559.45,80496,20599968.75,2.73
2024-01-24,Pune,176280,89702838.94,94769,63264255.26,65627,17843039.25,1.11
2024-01-24,Hyderabad,133581,75523862.06,143801,60200807.54,62602,20105416.34,2.48
2024-01-24,Ahmedabad,183018,78773182.44,108002,56113945.88,56267,20519766.83,2.79
2024-01-24,Kolkata,197866,78829470.54,117561,59114519.88,64159,22607840.89,1.07
2024-01-24,Jaipur,209094,83145534.16,131768,62964174.93,61338,25238910.78,1.43
2024-01-24,Surat,209950,73929547.76,125580,64831143.0,59280,21705239.41,2.24
2024-01-25,Mumbai,231204,87503398.13,103801,63723096.74,60801,19147543.21,1.56
2024-01-25,Delhi,228676,78453651.24,128382,62133394.24,71268,16265652.78,2.73
2024-01-25,Bangalore,189115,83783611.76,129749,63899536.49,68208,17607363.74,1.29
2024-01-25,Chennai,159898,76924526.37,120165,62039355.45,45920,22509866.51,2.16
2024-01-25,Pune,219628,82137074.07,119407,60050611.28,55949,23024127.89,0.91
2024-01-25,Hyderabad,248293,81778606.11,123683,66775786.26,51656,21482616.64,2.57
2024-01-25,Ahmedabad,197226,91736030.0,119300,64228735.48,67013,17978639.25,1.93
2024-01-25,Kolkata,178911,74968417.81,98242,58024890.91,68878,23066924.08,1.6
2024-01-25,Jaipur,170007,75133966.33,115276,60172520.92,53864,18022197.45,1.87
2024-01-25,Surat,193229,88499179.34,143776,67938835.4,64358,19048676.38,2.0
2024-01-26,Mumbai,243736,81956284.96,139821,50305714.83,73866,18919197.33,2.69
2024-01-26,Delhi,212956,84268399.01,131120,59850582.49,58988,17623935.71,2.37
2024-01-26,Bangalore,181826,90848665.67,130459,69042735.02,68247,17699867.44,1.01
2024-01-26,Chennai,159010,87144768.26,124745,53360938.99,63681,20593721.44,2.58
2024-01-26,Pune,200417,90845740.12,116337,60827004.92,69284,19582498.97,1.46
2024-01-26,Hyderabad,168682,80113433.06,119152,60753549.82,53225,24769162.63,2.01
2024-01-26,Ahmedabad,232573,82720740.07,134743,64243759.95,43099,20376432.53,2.83
2024-01-26,Kolkata,241670,74955630.17,111198,72667321.13,66672,15028388.19,0.9
2024-01-26,Jaipur,197357,78511046.21,132949,67875619.71,82916,18891156.74,1.9
2024-01-26,Surat,191611,80115356.45,125745,64743060.7,58409,24231881.34,2.39
2024-01-27,Mumbai,191714,82253184.87,117434,63955545.51,69167,22555767.61,2.25
2024-01-27,Delhi,199279,85022284.91,153760,65513300.3,66572,23060518.7,2.54
2024-01-27,Bangalore,207236,78103875.42,134980,62091832.88,55078,20300319.8,1.02
2024-01-27,Chennai,198074,81386117.36,129834,55333704.55,64258,19004353.29,2.17
2024-01-27,Pune,219213,78665648.69,106294,59026985.14,77202,20991110.38,1.73
2024-01-27,Hyderabad,179671,88943111.97,154449,58040612.97,63923,17762472.52,1.83
2024-01-27,Ahmedabad,195305,79864046.4,110686,65844570.24,67903,18625650.36,2.34
2024-01-27,Kolkata,217277,79695876.18,106026,66608264.32,74650,19344348.44,1.03
2024-01-27,Jaipur,247259,79472015.8,157343,64636320.07,49871,20852971.48,1.53
2024-01-27,Surat,234871,82540890.12,108821,68893060.46,56298,18129836.99,1.07
2024-01-28,Mumbai,195808,82307729.12,114059,57744390.26,67505,21189238.47,2.5
2024-01-28,Delhi,209732,75150460.0,119611,66909030.45,59644,18080521.28,1.0
2024-01-28,Bangalore,198586,69143501.5,130723,60549456.54,70955,20872374.94,2.4
2024-01-28,Chennai,203480,92595266.31,109696,60000156.46,74851,19635333.45,2.9
2024-01-28,Pune,219434,70593677.67,116013,65007722.24,57718,18965141.87,2.75
2024-01-28,Hyderabad,194772,76967345.14,140880,60799185.63,60354,21821150.58,2.83
2024-01-28,Ahmedabad,198755,80355640.71,122807,63966206.47,60870,17649904.2,2.46
2024-01-28,Kolkata,208805,82735148.67,138856,62118285.56,81471,20904543.81,2.4
2024-01-28,Jaipur,189038,81059946.55,141576,55176093.49,58092,19731254.25,1.23
2024-01-28,Surat,192759,79872159.09,135352,63271921.0,60114,21577906.65,2.85
2024-01-29,Mumbai,186277,78147561.09,129375,65184174.8,57362,21561273.64,1.47
2024-01-29,Delhi,222527,83487502.67,137552,63220156.33,76107,20005546.51,2.95
2024-01-29,Bangalore,249441,83547232.54,119105,65339468.89,68231,15297494.46,0.55
2024-01-29,Chennai,166283,81639615.31,132674,61101896.82,63757,21649969.36,1.97
2024-01-29,Pune,187146,74650254.72,122994,61226809.81,70921,17934542.16,1.39
2024-01-29,Hyderabad,253388,73862674.18,113700,63848666.22,53218,19892070.34,0.69
2024-01-29,Ahmedabad,179319,83909732.39,105704,61769340.58,78053,19737252.83,2.1
2024-01-29,Kolkata,212016,76773077.51,109227,51658050.53,56500,22626896.85,0.87
2024-01-29,Jaipur,198434,83752795.18,138631,57105077.95,69612,21711043.54,0.96
2024-01-29,Surat,186736,80040464.48,94774,62816673.74,60502,19074043.01,2.9
2024-01-30,Mumbai,193167,81329914.01,139359,56512328.88,58018,18925631.97,0.64
2024-01-30,Delhi,174749,81213340.46,120031,58012926.69,65743,16150580.64,2.37
2024-01-30,Bangalore,208985,80410155.01,121991,59632865.76,65705,20670295.24,1.93
2024-01-30,Chennai,205936,75551330.18,115360,51398820.66,61423,17566517.1,0.88
2024-01-30,Pune,216473,89544463.37,99127,65384415.71,62465,19541754.74,1.43
2024-01-30,Hyderabad,185517,85564254.32,134021,63028721.59,59448,19721697.52,0.56
2024-01-30,Ahmedabad,191686,86683457.87,145581,61248621.44,38576,20056665.55,0.53
2024-01-30,Kolkata,183682,82805976.27,110843,64870292.69,70734,23246278.53,2.04
2024-01-30,Jaipur,185955,77182023.29,129087,56532944.31,57359,22720211.16,2.13
2024-01-30,Surat,190027,82335489.66,140780,63253403.21,53629,24099106.91,0.52
2024-01-31,Mumbai,185717,83364954.91,101242,58503878.21,60466,15852434.82,1.4
2024-01-31,Delhi,172961,83525978.61,137998,62982635.71,61800,17324327.34,2.12
2024-01-31,Bangalore,164195,86802919.08,119317,61726337.66,66010,15922425.94,0.55
2024-01-31,Chennai,249140,82469669.47,116054,62660212.19,50681,19013476.55,1.93
2024-01-31,Pune,205941,87218309.7,104232,67082556.77,49048,18859566.74,2.26
2024-01-31,Hyderabad,181634,79283279.24,138182,59933802.74,54545,22963419.25,2.77
2024-01-31,Ahmedabad,210012,78590806.6,148604,66126664.33,70311,22106349.43,1.02
2024-01-31,Kolkata,229675,91421687.0,125508,59424933.5,54197,22485873.36,1.93
2024-01-31,Jaipur,202977,79063591.63,126756,59737914.28,59179,21420101.44,2.07
2024-01-31,Surat,202413,79512573.71,107791,58369991.59,54115,21196658.36,2.65
2024-02-01,Mumbai,230492,86976822.3,118852,73780410.85,71679,18550356.72,1.85
2024-02-01,Delhi,182177,76107491.04,88066,55786912.15,60247,19012021.76,1.78
2024-02-01,Bangalore,205306,78160875.93,144533,73550931.65,58542,16966120.34,0.51
2024-02-01,Chennai,192989,80931157.54,129165,68083808.68,47621,21667928.26,2.54
2024-02-01,Pune,218851,83341892.58,126685,55100504.2,70193,20716963.95,0.63
2024-02-01,Hyderabad,178915,80435361.33,126042,63769018.3,63134,18552745.61,1.3
2024-02-01,Ahmedabad,183355,71435320.16,150982,57970529.57,55567,22821349.76,2.81
