date,branch,gold_loan_amt,home_loan_amt,personal_loan_amt,fd_deposit_amt,casa_balance,npa_percent
2024-01-04,Hyderabad,1579429.07,5123150.08,1080277.46,7645905.79,3019931.37,4.96
2024-01-04,Ahmedabad,1719185.16,5535191.38,994839.62,6446960.93,3159242.35,5.47
2024-01-04,Kolkata,1605161.33,5019483.86,1332783.28,7874207.42,3006695.2,4.6
2024-01-04,Jaipur,1693336.55,5333684.17,1154438.68,7466564.6,2772304.66,4.31
2024-01-04,Surat,1454815.23,4987652.2,1121480.29,5935792.45,3111852.15,4.36
2024-01-05,Mumbai,1408424.85,5555564.25,1212061.29,6366059.84,2790979.7,4.49
2024-01-05,Delhi,1639191.39,6206907.01,1479465.09,7833697.42,3255127.05,5.9
2024-01-05,Bangalore,1097161.43,5103413.61,1102933.49,7526482.92,2767768.27,2.1
2024-01-05,Chennai,1480006.82,4623318.64,1452093.65,6813050.65,2910455.22,3.0
2024-01-05,Pune,1856797.03,5212895.84,1012889.14,7565818.6,3643920.15,3.68
2024-01-05,Hyderabad,1709906.04,4643898.56,1010028.06,6871279.95,3568724.91,2.39
2024-01-05,Ahmedabad,853450.03,4496781.79,1164439.01,6263832.75,3496702.84,4.54
2024-01-05,Kolkata,1216399.67,4945665.51,1132410.58,7049175.55,3711807.88,5.43
2024-01-05,Jaipur,1306305.67,5241513.84,1232318.67,6653149.61,3026982.51,5.76
2024-01-05,Surat,1425783.16,4059414.13,1394865.28,6644181.63,3640662.08,4.18
2024-01-06,Mumbai,1473317.09,5307394.0,1245254.15,6642946.24,2944907.23,5.38
2024-01-06,Delhi,1404903.31,4700603.62,1149543.4,7590134.67,3444354.49,5.51
2024-01-06,Bangalore,1666728.85,5328101.46,1078339.88,6680551.1,3232248.55,5.96
2024-01-06,Chennai,1626129.24,4116429.6,1019456.77,6614974.56,3356952.65,5.72
2024-01-06,Pune,1460104.92,5563261.9,1327121.98,7506826.05,3400122.75,3.28
2024-01-06,Hyderabad,1507961.27,4892588.57,1331416.45,6854469.16,2823111.77,5.8
2024-01-06,Ahmedabad,1523197.69,5310822.46,1079960.06,8276070.95,2704940.27,4.69
2024-01-06,Kolkata,1260305.18,5398802.51,1303308.56,6596963.33,3004848.27,4.2
2024-01-06,Jaipur,1699261.51,4938787.49,1078865.86,6824186.42,3131689.13,4.47
2024-01-06,Surat,1390723.23,4795306.67,1233649.84,7353804.19,3269916.88,2.33
2024-01-07,Mumbai,1214014.28,4309156.92,1095510.07,6892547.5,3102552.09,3.7
2024-01-07,Delhi,1800456.46,4863384.39,1202913.52,6610366.22,2994497.98,2.48
2024-01-07,Bangalore,1569237.34,4600143.68,1281735.68,7943402.28,2976274.07,3.14
2024-01-07,Chennai,1585083.37,4842884.58,1272457.42,7062916.97,3304936.45,5.97
2024-01-07,Pune,1524093.83,4627335.59,1207287.56,7320695.37,3445649.11,3.82
2024-01-07,Hyderabad,1696929.73,5617006.39,1476830.41,6954241.16,3302771.42,4.48
2024-01-07,Ahmedabad,1336051.8,4714404.59,884059.89,6704600.63,2780576.98,5.9
2024-01-07,Kolkata,1534668.99,4055777.68,1258134.58,7364836.93,3301030.62,2.65
2024-01-07,Jaipur,1239661.22,5933476.57,1381046.77,6738650.09,2493517.82,5.88
2024-01-07,Surat,1776086.8,5153231.03,1245533.88,5545227.16,2737800.69,3.09
2024-01-08,Mumbai,1506302.41,5041072.51,1136453.89,7399517.94,2689092.87,5.82
2024-01-08,Delhi,1476674.44,4330809.91,1284804.9,7662995.03,3474529.74,3.43
2024-01-08,Bangalore,1571945.42,4641946.88,1437687.15,7094147.7,3365527.42,4.21
2024-01-08,Chennai,1518800.96,5532586.44,1229200.42,6410127.25,2929489.12,2.12
2024-01-08,Pune,1634776.95,5704210.88,1058954.9,7437571.58,3329138.69,3.57
2024-01-08,Hyderabad,1152270.99,5462082.39,1183566.36,7145000.93,2356960.84,5.13
2024-01-08,Ahmedabad,1832113.14,4325034.09,947798.36,6991054.73,3126122.9,3.97
2024-01-08,Kolkata,1498688.16,5580803.53,987264.01,6950495.1,2987829.83,2.52
2024-01-08,Jaipur,1578826.27,4545915.32,1126850.18,6386747.54,2991630.46,4.67
2024-01-08,Surat,1696947.06,4793376.57,1132599.57,6533488.01,2842205.38,2.35
2024-01-09,Mumbai,1484508.3,4500308.35,1121420.41,6306398.36,3603775.21,2.16
2024-01-09,Delhi,1513080.92,5278323.67,1386218.04,7540855.81,2825146.45,4.99
2024-01-09,Bangalore,1399475.37,4730939.24,1163377.21,5641322.69,2555624.45,3.85
2024-01-09,Chennai,1780468.35,5447403.85,1056016.86,7045241.03,3303749.29,4.13
2024-01-09,Pune,1480314.15,4540318.7,962869.18,7150566.49,2784187.16,2.08
2024-01-09,Hyderabad,1220411.46,4487246.16,1106251.37,6562209.28,2906342.28,5.56
2024-01-09,Ahmedabad,1844778.04,5462583.16,1203599.32,7919518.35,3035303.33,4.35
2024-01-09,Kolkata,1333054.13,4798866.71,1443054.95,6794227.12,2810677.33,3.45
2024-01-09,Jaipur,1691976.45,5978527.15,994175.72,7367132.67,2816026.46,2.75
2024-01-09,Surat,1408185.22,4604050.95,1122697.52,5520337.66,3218214.23,5.93
2024-01-10,Mumbai,1458745.34,4566676.15,1118494.98,7486774.29,3164451.39,5.72
2024-01-10,Delhi,1310359.15,6048757.72,1449435.06,7593826.42,2783951.18,2.75
2024-01-10,Bangalore,1353411.24,4115997.96,960170.04,7060480.8,3091767.38,3.15
2024-01-10,Chennai,1325072.79,4450366.07,1245742.13,8709282.65,2528023.46,2.21
2024-01-10,Pune,1333892.95,4829356.98,1357023.17,6683807.27,3265335.82,5.04
2024-01-10,Hyderabad,1279791.89,4659202.95,1572120.06,5964574.43,2702317.23,5.72
2024-01-10,Ahmedabad,1581313.21,4719148.44,1218446.92,6937673.33,3365411.12,2.56
2024-01-10,Kolkata,1557863.15,4723904.31,1294046.4,6839553.0,2917352.17,5.26
2024-01-10,Jaipur,1564965.77,6064870.05,1336656.71,6835005.62,3375485.82,3.76
2024-01-10,Surat,1424767.66,4682771.56,869345.04,7665295.13,2759297.73,4.01
2024-01-11,Mumbai,1573212.4,4914901.98,1331032.89,5701685.41,3086037.79,2.47
2024-01-11,Delhi,1662443.9,5108010.18,1291767.2,6507491.55,2894287.58,5.18
2024-01-11,Bangalore,1634689.16,6166023.16,1233416.34,7184677.01,2876502.69,2.99
2024-01-11,Chennai,1336681.28,5783660.08,1266606.7,6825441.38,3264985.31,5.29
2024-01-11,Pune,1453255.14,4533171.23,1139022.79,7262512.2,3243232.07,4.88
2024-01-11,Hyderabad,1322144.77,5721416.42,1358046.89,6050772.5,3099710.74,3.38
2024-01-11,Ahmedabad,1149977.23,5776762.27,1304645.62,7001482.44,3099410.54,4.02
2024-01-11,Kolkata,1281276.7,4923069.77,1213072.5,8109644.66,3192967.8,5.69
2024-01-11,Jaipur,1348614.63,5261912.85,1489715.19,7846288.29,3495345.77,5.74
2024-01-11,Surat,1404745.65,4979660.6,1323746.8,8565830.73,3172971.73,3.6
2024-01-12,Mumbai,1476474.61,4812885.54,1053949.36,6040124.97,3264809.41,3.39
2024-01-12,Delhi,1522994.24,5666055.62,1083153.63,6131881.86,2937849.24,3.81
2024-01-12,Bangalore,1458831.07,4890388.23,799842.07,7005743.91,2946838.6,4.32
2024-01-12,Chennai,1648257.1,4516106.64,1284526.65,6556396.59,2966867.82,5.99
2024-01-12,Pune,2025752.66,5057272.07,1208700.89,7023945.33,3076252.27,2.82
2024-01-12,Hyderabad,1479219.12,6319530.72,1039620.97,7876231.68,2214306.66,3.76
2024-01-12,Ahmedabad,1758837.73,3985103.06,1154914.14,6814409.73,2591924.1,4.58
2024-01-12,Kolkata,1351831.06,4845559.31,1196104.11,7331291.14,2783424.96,4.64
2024-01-12,Jaipur,1653378.25,4459869.22,1127489.23,7333739.67,2647845.15,2.4
2024-01-12,Surat,1651633.98,5436670.08,1064762.09,7180065.55,3092743.7,3.59
2024-01-13,Mumbai,1291490.06,5339815.61,1296698.98,6855157.77,3116426.95,3.69
2024-01-13,Delhi,1257275.95,4405524.88,1084019.51,7836196.66,2488912.29,3.07
2024-01-13,Bangalore,1251377.61,5912661.47,893036.85,8065981.06,3081685.07,5.05
2024-01-13,Chennai,1489541.32,5518826.81,1202528.4,6839362.38,3424236.14,2.09
2024-01-13,Pune,1570929.72,4169785.3,1003758.82,7490634.21,3069567.19,5.94
2024-01-13,Hyderabad,1471982.55,4381910.97,1222413.35,6058377.67,3184552.45,4.22
2024-01-13,Ahmedabad,1716066.11,5267716.53,1245834.89,7635152.28,3520640.19,2.7
2024-01-13,Kolkata,1713091.26,4950474.95,1328914.92,7273549.38,2302818.08,2.19
2024-01-13,Jaipur,1613152.99,4664950.86,1235383.1,6586050.86,2833443.93,3.15
2024-01-13,Surat,1225979.79,5704679.9,1073837.93,7388446.46,2488771.45,3.9
2024-01-14,Mumbai,1609054.89,5125518.78,1078209.43,7468417.14,2845686.16,3.99
2024-01-14,Delhi,1534310.58,4182230.33,1356830.77,6832822.74,3092729.04,2.3
2024-01-14,Bangalore,1502706.82,5923655.42,1113143.65,8140037.68,3233205.7,5.2
2024-01-14,Chennai,1396525.44,4485074.24,1348128.62,5980904.66,3364971.62,2.37
2024-01-14,Pune,1494766.55,5344853.23,1234628.41,6239085.54,3134300.74,5.23
2024-01-14,Hyderabad,1632660.91,5679814.68,1368167.13,6771483.81,3210616.73,3.96
2024-01-14,Ahmedabad,1596232.15,5137018.83,1248801.61,6274471.54,2693074.98,5.7
2024-01-14,Kolkata,1721749.67,5600704.19,1195659.23,6764414.63,3287183.93,5.32
2024-01-14,Jaipur,1529099.11,4799859.96,1142201.93,6858790.95,3086573.29,3.36
2024-01-14,Surat,1413377.9,4901138.03,1228179.32,7294651.26,2436831.74,5.16
2024-01-15,Mumbai,1718313.49,4287020.35,1248737.94,7586514.93,3045857.99,5.76
2024-01-15,Delhi,1725087.75,5650866.57,1105167.63,6740944.05,2270398.84,4.51
2024-01-15,Bangalore,1420775.79,5766779.08,1446994.37,6733087.97,2894061.56,3.42
2024-01-15,Chennai,1453748.58,4528420.65,1049659.75,5880671.57,2656245.72,4.72
2024-01-15,Pune,1708742.53,4927256.62,1200928.51,7456725.94,2681825.68,5.96
2024-01-15,Hyderabad,1587517.32,5622636.32,1453268.45,6100429.96,3043344.21,2.71
2024-01-15,Ahmedabad,1384999.5,4755317.27,1112122.67,7767403.79,3450134.33,4.78
2024-01-15,Kolkata,1395551.7,5208011.96,1151521.72,6622911.67,2808436.38,4.15
2024-01-15,Jaipur,1822167.55,5939224.41,1115838.27,6814750.72,3107359.93,4.62
2024-01-15,Surat,1577859.6,4606744.82,1224220.27,5992527.91,2641157.5,3.04
2024-01-16,Mumbai,1504574.91,5941508.52,1130775.99,7187779.82,3017536.18,3.92
2024-01-16,Delhi,1750711.24,5644835.14,1260856.28,7852782.32,2680408.57,4.26
2024-01-16,Bangalore,1628911.53,4856506.61,1298262.71,7722711.31,3270490.74,4.79
2024-01-16,Chennai,1613465.72,5545542.37,1440476.47,6660063.84,3167749.9,5.52
2024-01-16,Pune,1477575.71,5111407.02,1391333.67,6558662.39,3133931.51,5.33
2024-01-16,Hyderabad,1431992.23,4923796.75,1209516.05,7546831.5,2572330.95,5.92
2024-01-16,Ahmedabad,1237238.99,5413425.23,1306548.8,8360187.48,2929474.03,5.04
2024-01-16,Kolkata,1555408.79,5308528.76,1216247.06,7783329.59,2586808.36,5.73
2024-01-16,Jaipur,1421293.63,5135272.83,1371252.6,6431971.5,3062690.08,3.38
2024-01-16,Surat,1370175.66,4795633.57,1228314.18,7274413.32,2863575.32,2.1
2024-01-17,Mumbai,1827609.64,5006861.87,1125653.83,8193723.8,2586120.6,2.65
2024-01-17,Delhi,1068720.72,5366912.71,1358881.11,7734496.81,3420308.45,3.09
2024-01-17,Bangalore,1643080.56,4990015.36,1488811.51,6408812.73,2562681.19,5.94
2024-01-17,Chennai,1372511.33,5492535.82,1178367.04,6626064.66,2821657.79,2.12
2024-01-17,Pune,1259689.65,5767657.36,1197178.74,7731740.52,3127640.14,5.08
2024-01-17,Hyderabad,1604081.45,5271804.23,1301456.17,6484845.76,3121749.52,2.13
2024-01-17,Ahmedabad,1551618.67,5397337.89,1196031.96,7926982.89,2819458.97,2.8
2024-01-17,Kolkata,1875069.59,4666620.47,1207439.5,6093518.47,3194765.6,5.19
2024-01-17,Jaipur,1422049.42,4087671.47,1141211.28,5590037.78,2545027.79,4.78
2024-01-17,Surat,1665299.59,5227554.22,1282005.47,7041377.76,2851328.17,2.42
2024-01-18,Mumbai,1512023.37,4458394.61,1437626.58,7590391.92,2958647.29,3.31
2024-01-18,Delhi,1518172.87,4600616.31,1215897.05,6896615.47,2999438.81,2.31
2024-01-18,Bangalore,1310723.24,4900755.18,1482145.03,7447274.02,2852689.8,2.67
2024-01-18,Chennai,1628239.95,5181426.2,1089400.06,8155929.17,3133790.43,5.48
2024-01-18,Pune,1693310.47,5362785.38,1368971.09,6735629.17,3424077.57,3.81
2024-01-18,Hyderabad,1552605.84,5244877.52,1540358.75,6835902.47,3087386.42,2.24
2024-01-18,Ahmedabad,1381358.99,4798500.57,1161739.46,7316162.81,3183683.88,4.63
2024-01-18,Kolkata,1397034.71,6537606.47,1195582.46,6494812.57,3253418.71,5.99
2024-01-18,Jaipur,1520415.3,5103025.8,1303009.93,6440608.22,2947630.73,5.47
2024-01-18,Surat,1176196.59,5512904.28,1342287.06,5931392.99,2752720.69,3.48
2024-01-19,Mumbai,1558794.38,5573261.09,1465662.46,6785191.47,3353516.69,5.6
2024-01-19,Delhi,1505728.99,4221175.57,1124111.5,7547621.64,3081266.42,2.84
2024-01-19,Bangalore,1811465.84,5741256.09,1116121.09,7302619.46,3176542.94,2.72
2024-01-19,Chennai,1566103.97,5208357.16,1166682.99,6063792.62,3011737.0,5.48
2024-01-19,Pune,1669228.8,3607910.25,1384665.69,6009777.28,2917289.13,5.88
2024-01-19,Hyderabad,1287550.62,5452279.38,1022253.31,7733613.96,2812664.53,2.52
2024-01-19,Ahmedabad,1504031.43,5285667.1,1222426.99,6286276.51,3328569.97,3.72
2024-01-19,Kolkata,1413859.92,5372382.26,1000121.35,6555440.21,3184605.12,2.67
2024-01-19,Jaipur,1448594.05,6092719.36,1268605.93,7323347.21,3338866.8,2.82
2024-01-19,Surat,1561687.65,4880088.65,1127414.0,7092292.35,2818880.6,5.75
2024-01-20,Mumbai,1662170.03,5006758.31,1223307.33,5856189.85,3306009.84,3.82
2024-01-20,Delhi,1584206.02,3987061.2,1656249.22,6538854.28,3150666.67,2.12
2024-01-20,Bangalore,1737992.11,4522607.48,1304189.29,6428446.19,2839591.57,5.47
2024-01-20,Chennai,1900692.93,5323707.24,1072519.08,7047791.36,3635231.89,4.47
2024-01-20,Pune,1554851.9,5577817.81,1378804.26,7785484.26,3221939.45,3.58
2024-01-20,Hyderabad,1283477.31,4658020.6,1256316.94,7675314.86,2952066.7,5.13
2024-01-20,Ahmedabad,1840058.31,5276421.44,1174428.58,7650447.6,3388731.14,5.23
2024-01-20,Kolkata,1266395.98,5411660.1,1307614.98,7847705.53,2949335.03,2.48
2024-01-20,Jaipur,1479306.8,5055363.52,1045396.54,6194261.18,3511395.86,3.55
2024-01-20,Surat,1343248.5,4263761.01,1165437.06,6283241.88,2846495.04,2.29
2024-01-21,Mumbai,1846687.06,5559957.63,1107745.22,8434976.1,3327474.94,4.08
2024-01-21,Delhi,1449384.06,4820606.64,1208979.79,6369013.0,2565562.86,3.6
2024-01-21,Bangalore,1721559.23,6282074.97,1421717.33,7411728.93,3210210.57,5.82
2024-01-21,Chennai,1687389.94,4922393.73,1271400.81,6955528.61,3197581.2,2.41
2024-01-21,Pune,1173022.72,5000338.49,1062228.45,6401224.87,3084507.93,3.25
2024-01-21,Hyderabad,1796184.46,5814831.37,1329122.1,6704385.92,2549196.05,2.49
2024-01-21,Ahmedabad,1626110.52,4560986.05,1227964.39,6261580.55,2847785.6,4.27
2024-01-21,Kolkata,1579595.95,5755694.43,1200615.66,6719148.27,3049297.58,4.53
2024-01-21,Jaipur,1539704.1,5324365.5,1219402.3,7094598.56,2817296.52,4.44
2024-01-21,Surat,1381094.01,5630456.96,1166413.04,6903154.13,3257666.92,2.95
2024-01-22,Mumbai,1370559.89,5504660.54,1167893.0,7830006.02,2827331.32,4.5
2024-01-22,Delhi,1572134.72,6175516.97,1024977.29,7391421.13,2808711.91,5.45
2024-01-22,Bangalore,1478303.36,4986908.09,1219240.72,6984372.69,3323699.95,2.93
2024-01-22,Chennai,1962496.7,5789909.14,957148.99,7264110.71,3030868.3,2.55
2024-01-22,Pune,1353327.37,5880663.77,1466897.5,6737859.45,3203987.22,3.1
2024-01-22,Hyderabad,1844848.96,4496331.27,1104784.91,6717866.2,2971617.2,4.08
2024-01-22,Ahmedabad,1562998.13,4266383.72,1262753.17,7578868.61,2427099.04,3.33
2024-01-22,Kolkata,1591346.83,5403647.69,1507647.23,6915559.72,3554989.68,2.24
2024-01-22,Jaipur,1628587.87,5090901.72,1294261.94,6515295.6,3082841.73,2.39
2024-01-22,Surat,1230038.3,5852545.7,1166099.76,7870183.94,2663311.14,5.18
2024-01-23,Mumbai,1295634.36,4895055.53,1397166.27,7162965.48,3736452.65,2.36
2024-01-23,Delhi,1596028.87,4788364.26,1268048.25,7382566.29,3209640.69,4.83
2024-01-23,Bangalore,1357572.93,4382061.74,934739.46,7385147.54,2698348.91,4.4
2024-01-23,Chennai,1081185.52,5477761.64,1217941.62,7229442.0,3032529.73,5.41
2024-01-23,Pune,1533045.9,5005011.28,1352577.95,6900919.46,3114100.09,5.16
2024-01-23,Hyderabad,1581547.3,4798649.29,1177356.8,6356412.09,2925930.23,4.78
2024-01-23,Ahmedabad,1522198.23,5050390.35,1377876.06,7364951.95,3025409.32,4.43
2024-01-23,Kolkata,1681852.35,4726216.21,1293527.96,5544899.08,3052398.09,2.59
2024-01-23,Jaipur,1393256.63,4960486.01,1221790.96,7398311.62,3011617.72,3.25
2024-01-23,Surat,1614870.63,3594978.91,1257674.29,7248849.43,2792397.6,2.86
2024-01-24,Mumbai,1826920.89,5673888.81,1181415.38,7985221.69,3079613.14,5.93
2024-01-24,Delhi,1449057.51,4772434.5,1151451.47,6857631.62,2820034.66,2.4
2024-01-24,Bangalore,1438721.83,5143688.0,1238163.09,7082348.63,3167088.89,3.23
2024-01-24,Chennai,1758117.74,5310135.77,1561050.29,6446912.88,2971090.94,5.55
2024-01-24,Pune,1240730.44,4943824.9,1036264.6,5986878.07,3198806.86,5.08
2024-01-24,Hyderabad,1670827.09,5042382.89,1187352.25,6842859.32,3029889.65,3.04
2024-01-24,Ahmedabad,1406744.75,5255654.88,989412.14,7191781.14,3029854.23,2.44
2024-01-24,Kolkata,1634440.67,4066150.09,1526438.26,6356431.91,3022335.14,3.3
2024-01-24,Jaipur,1482263.01,5923196.56,1005648.3,6101229.59,3480926.64,5.57
2024-01-24,Surat,1474903.82,5635231.6,1043743.23,6109984.07,2911079.88,5.36
2024-01-25,Mumbai,1954639.18,4753508.25,1327050.08,7265730.45,3431208.66,2.27
2024-01-25,Delhi,1834049.87,4457207.19,1223915.64,7137826.27,3558838.24,4.72
2024-01-25,Bangalore,1444058.92,5153448.23,1009906.23,6494035.96,3400445.66,4.65
2024-01-25,Chennai,1385044.6,4831586.71,1148207.08,7255560.43,2821095.93,5.06
2024-01-25,Pune,1719600.05,4677061.69,998569.14,7995609.79,2938034.4,4.46
2024-01-25,Hyderabad,1467231.4,5384693.84,1400298.39,6729785.04,3047716.51,5.87
2024-01-25,Ahmedabad,1387751.91,5529487.1,1223054.59,7247089.23,3500043.01,5.25
2024-01-25,Kolkata,1620785.96,4628009.31,1268927.99,7422101.61,2972131.62,2.9
2024-01-25,Jaipur,1306530.62,4065023.57,1526532.24,6414131.88,2968827.4,5.55
2024-01-25,Surat,1461972.99,4381680.09,1352993.43,7268665.41,3116726.78,5.39
2024-01-26,Mumbai,1484907.85,5205556.1,1177230.04,8063962.44,3186633.64,5.11
2024-01-26,Delhi,1667562.75,4536606.57,1291378.0,7285711.86,3046707.17,5.75
2024-01-26,Bangalore,1599686.81,4732750.57,1134716.34,7443716.14,3413628.48,4.93
2024-01-26,Chennai,1523057.49,6227082.61,1378331.4,5933750.34,3061322.93,4.26
2024-01-26,Pune,1671301.68,5255461.43,1410881.2,7496457.67,2995443.99,2.04
2024-01-26,Hyderabad,1270829.61,5481905.1,1074255.45,7869949.35,2909070.87,2.82
2024-01-26,Ahmedabad,1856905.66,5262302.46,1033375.26,7357596.12,3400976.81,4.22
2024-01-26,Kolkata,1395268.96,4328510.11,1046979.44,6811579.84,2788320.56,5.51
2024-01-26,Jaipur,1868460.18,4860184.18,1249123.99,7654048.93,2606671.41,4.78
2024-01-26,Surat,1162186.22,5653065.22,1127975.96,7197528.28,2783637.25,3.92
2024-01-27,Mumbai,1405183.44,5158475.24,1449923.61,8310303.26,3665490.94,4.71
2024-01-27,Delhi,1764315.0,4748544.09,1341391.82,7086719.39,3437840.98,2.31
2024-01-27,Bangalore,1485020.6,4835439.99,1321416.07,7671634.51,3065866.85,3.76
2024-01-27,Chennai,1818847.59,4846295.43,1080965.85,6578466.2,2997899.68,2.88
2024-01-27,Pune,1826124.92,5384506.12,1059974.81,8217917.46,3410072.14,2.47
2024-01-27,Hyderabad,1637432.99,5646162.83,1169373.18,7819534.23,2450235.59,4.35
2024-01-27,Ahmedabad,1420459.11,4497913.77,1237007.67,6016142.55,3137210.67,3.04
2024-01-27,Kolkata,1489595.72,5588196.24,1185978.08,6866824.99,3161098.29,5.21
2024-01-27,Jaipur,1282474.85,3610199.19,1211419.11,8168174.52,3543856.68,5.06
2024-01-27,Surat,1426892.3,5244695.3,1048779.81,7331269.09,2864732.25,4.63
2024-01-28,Mumbai,1499948.77,4964288.33,1082724.7,6591674.06,2971639.09,3.09
2024-01-28,Delhi,1594714.99,4913533.72,1454591.13,6774591.95,3036237.36,2.25
2024-01-28,Bangalore,1028856.5,5515490.0,1328218.69,6923424.71,3060868.53,5.75
2024-01-28,Chennai,1624830.88,5011985.9,1124375.03,7632429.39,2761023.28,5.93
2024-01-28,Pune,1681247.45,4431888.83,1260828.14,6269562.6,3182318.04,4.43
2024-01-28,Hyderabad,1513025.47,4657833.25,1168271.86,6834989.0,2875755.07,3.0
2024-01-28,Ahmedabad,1560905.38,5649571.98,1061769.69,7132007.52,3170881.66,2.27
2024-01-28,Kolkata,1660742.51,5259802.53,1491594.02,7044241.88,2788437.41,3.94
2024-01-28,Jaipur,1608740.67,5525568.98,856975.2,6480482.76,3228753.85,2.25
2024-01-28,Surat,1937304.33,5775544.49,1224867.42,6700912.97,3022596.99,5.15
2024-01-29,Mumbai,1389998.46,4664809.65,1143374.71,6517994.87,3079316.31,2.82
2024-01-29,Delhi,1850484.79,4887239.98,1294586.3,7291149.93,3032290.39,5.09
2024-01-29,Bangalore,1700094.66,5030536.54,1189349.01,9040686.64,3132880.63,5.29
2024-01-29,Chennai,1368536.78,5733902.76,1130385.55,5984160.48,3103038.28,5.17
2024-01-29,Pune,1900904.79,5617584.37,1148762.34,7877370.35,3062641.65,2.63
2024-01-29,Hyderabad,1693942.5,5568164.75,1316632.49,7605288.39,2911876.72,5.62
2024-01-29,Ahmedabad,1453107.56,4865350.23,1071525.86,7355717.67,3669420.08,2.33
2024-01-29,Kolkata,1304504.32,5167101.13,1253492.32,7415156.05,3043767.57,3.67
2024-01-29,Jaipur,1305546.59,5287151.7,1188335.36,7697718.13,3403202.84,4.88
2024-01-29,Surat,2046163.51,4661676.48,1307518.88,7262860.91,3134535.49,4.16
2024-01-30,Mumbai,1317522.51,5650703.4,1417831.99,7029631.69,2397713.46,3.98
2024-01-30,Delhi,1398422.92,4819705.68,1368462.38,7433738.91,2787882.25,5.3
2024-01-30,Bangalore,1473270.68,4886428.32,1157784.2,6540028.92,3535139.59,4.6
2024-01-30,Chennai,1456351.18,4302266.77,1406683.32,7038789.78,3416369.03,5.92
2024-01-30,Pune,1338388.89,5237031.25,1037979.62,7824440.44,2902093.73,2.7
2024-01-30,Hyderabad,1562565.29,4868551.64,1297179.98,6791552.86,3280141.63,4.57
2024-01-30,Ahmedabad,1547392.42,6056021.73,1065174.58,6688956.64,3199907.85,5.48
